Dublication   Transfers   Losses  Speciations
Total 	0	12.37	6.17	9.8
Total 	0	16.45	8.82	8.37
Total 	0	15.23	8.03	8.8
Total 	0	16	7.23	7.23
Total 	0	13.55	5.28	7.73
Total 	0	13.31	5.52	8.21
Total 	0	13.28	7.37	10.09
Total 	0	13.36	5.34	7.98
Total 	0	15.31	6.21	6.9
Total 	0	16.17	7.62	7.45
Total 	0	14.03	6.63	8.6
Total 	0	16.25	6.74	6.49
Total 	0	11.05	6.03	10.98
Total 	0	16.16	6.7	6.54
Total 	0	15.22	7.71	8.49
Total 	0	13.34	5.78	8.44
Total 	0	15.02	7.52	8.5
Total 	0	15.1	6.4	7.3
Total 	0	10.35	5.19	10.84
Total 	0	14.86	7.23	8.37
Total 	0	13.77	6.76	8.99
Total 	0	14.85	5.66	6.81
Total 	0	15.2	8.98	9.78
Total 	0	14.02	7.97	9.95
Total 	0	15.06	7.26	8.2
Total 	0	13.33	6.14	8.81
Total 	0	16.22	7.76	7.54
Total 	0	15.34	6.98	7.64
Total 	0	14.74	6.24	7.5
Total 	0	12.3	7.94	11.64
Total 	0	13.66	7.3	9.64
Total 	0.01	14.56	6.27	7.7
Total 	0	12.35	5.89	9.54
Total 	0	14.88	6.65	7.77
Total 	0	15.84	7.79	7.95
Total 	0.01	13.49	7.37	9.87
Total 	0	13.84	6.27	8.43
Total 	0	13.39	5.81	8.42
Total 	0	15.38	8.54	9.16
Total 	0	11.52	8.63	13.11
Total 	0	14.71	8.04	9.33
Total 	0	14.67	7.34	8.67
Total 	0	15.5	8.4	8.9
Total 	0	12.98	2.76	5.78
Total 	0	12.6	6.7	10.1
Total 	0	12.38	3.69	7.31
Total 	0	12.81	5.42	8.61
Total 	0	15.03	8.63	9.6
Total 	0	16.25	7.73	7.48
Total 	0	13.43	9.23	11.8
Total 	0	13.15	8.88	11.73
Total 	0	13.08	7.17	10.09
Total 	0	16.44	7.8	7.36
Total 	0	13.87	7.49	9.62
Total 	0	13.96	6.91	8.95
Total 	0	15.65	7.41	7.76
Total 	0	12.72	5.52	8.8
Total 	0	11.71	2.36	6.65
Total 	0	12.48	2.81	6.33
Total 	0	14.58	9.39	10.81
Total 	0	15.06	7.86	8.8
Total 	0	15.52	8.51	8.99
Total 	0	15.75	7.56	7.81
Total 	0	15.54	8.24	8.7
Total 	0	13.5	7.48	9.98
Total 	0	14.16	5.61	7.45
Total 	0	14.66	7.76	9.1
Total 	0	14.12	8.39	10.27
Total 	0	15.19	7.6	8.41
Total 	0	12.11	7.08	10.97
Total 	0.01	14.1	6.16	8.05
Total 	0	13.84	7.76	9.92
Total 	0	13.16	5.34	8.18
Total 	0	15.04	6.8	7.76
Total 	0	13.65	9.27	11.62
Total 	0	14.36	6.28	7.92
Total 	0.02	16.46	8.11	7.63
Total 	0	12.39	6.82	10.43
Total 	0	9.76	1.97	8.21
Total 	0	14.64	8.74	10.1
Total 	0	15.7	7.91	8.21
Total 	0	14.17	7.63	9.46
Total 	0	15.44	7.26	7.82
Total 	0	12.07	6.9	10.83
Total 	0	11.09	6.21	11.12
Total 	0	12.31	6.7	10.39
Total 	0	11.67	5.56	9.89
Total 	0	14.29	6.11	7.82
Total 	0	12	8.98	12.98
Total 	0	12.59	4.52	7.93
Total 	0	12.94	6.76	9.82
Total 	0	12.48	6.48	10
Total 	0	14.14	6.95	8.81
Total 	0	15.85	9.01	9.16
Total 	0	14.68	8.44	9.76
Total 	0	15.77	7.92	8.15
Total 	0	14.26	10.84	12.58
Total 	0	13.48	6.05	8.57
Total 	0	11.76	4.84	9.08
Total 	0	12.48	6.46	9.98
Total 	0	15.6	7.38	7.78
Total 	0	14.37	5.95	7.58
Total 	0	11.29	0	4.71
Total 	0	13.95	7.3	9.35
Total 	0	13.79	7.84	10.05
Total 	0	14.97	6.88	7.91
Total 	0	13.45	5.54	8.09
Total 	0	16.39	8.12	7.73
Total 	0	16	7.27	7.27
Total 	0	14.05	5.75	7.7
Total 	0	10.91	7.82	12.91
Total 	0	14.37	9.11	10.74
Total 	0	14.65	7.36	8.71
Total 	0	13.97	5.7	7.73
Total 	0	15.51	6.51	7
Total 	0	16.56	8.8	8.24
Total 	0	14.91	5.9	6.99
Total 	0	11.91	4.95	9.04
Total 	0	13.04	6.03	8.99
Total 	0	13.94	5.49	7.55
Total 	0	14.44	6.68	8.24
Total 	0	10.95	4.35	9.4
Total 	0	12.97	6.54	9.57
Total 	0	12.44	0.14	3.7
Total 	0	13.45	6.53	9.08
Total 	0.01	15.7	6.11	6.4
Total 	0	16.45	8.79	8.34
Total 	0	12.4	5.34	8.94
Total 	0	13.67	7.04	9.37
Total 	0	14.93	5.88	6.95
Total 	0	12.84	2.81	5.97
Total 	0	12.29	7.54	11.25
Total 	0	14.41	6.6	8.19
Total 	0	13.74	8.35	10.61
Total 	0	16.26	7.75	7.49
Total 	0	13.6	8.66	11.06
Total 	0	15.82	8.59	8.77
Total 	0	15.68	8.66	8.98
Total 	0	15.58	5.73	6.15
Total 	0	14.23	6.62	8.39
Total 	0	14.82	6.29	7.47
Total 	0	14.21	5.8	7.59
Total 	0	15.54	9.59	10.05
Total 	0	12.7	7.93	11.23
Total 	0	16.52	7.98	7.46
Total 	0	14.13	6.12	7.99
Total 	0	15.01	6.54	7.53
Total 	0	14.58	8.8	10.22
Total 	0	16.02	8.86	8.84
Total 	0	13.59	8.58	10.99
Total 	0	16.01	7.99	7.98
Total 	0	13.36	6.04	8.68
Total 	0	14.12	7.66	9.54
Total 	0	13.02	8.13	11.11
Total 	0	13.73	9.21	11.48
Total 	0	13.52	5.71	8.19
Total 	0	15.66	8.04	8.38
Total 	0	14.72	8.01	9.29
Total 	0	15.12	8.06	8.94
Total 	0	16.77	7.15	6.38
Total 	0	16.07	6.24	6.17
Total 	0	15.88	8.32	8.44
Total 	0	14.06	6.7	8.64
Total 	0	14.45	5.39	6.94
Total 	0	11.93	5.78	9.85
Total 	0	12.99	5.37	8.38
Total 	0	15.77	8.32	8.55
Total 	0	15.21	7.13	7.92
Total 	0	14.92	7.1	8.18
Total 	0	11.79	5.55	9.76
Total 	0	15.14	8.33	9.19
Total 	0	13.28	6.89	9.61
Total 	0	16.46	7.57	7.11
Total 	0	16.18	7.44	7.26
Total 	0	14.84	7.08	8.24
Total 	0	11.55	6.84	11.29
Total 	0	14.97	5.77	6.8
Total 	0	16.04	7.25	7.21
Total 	0	15.74	8.21	8.47
Total 	0	14.18	9.56	11.38
Total 	0	13.84	5.11	7.27
Total 	0	16.63	7.39	6.76
Total 	0	11.67	4.17	8.5
Total 	0	12.12	8.76	12.64
Total 	0	13.01	8.05	11.04
Total 	0	15.29	6.99	7.7
Total 	0	13.64	7.28	9.64
Total 	0	12.95	9.62	12.67
Total 	0	12.58	0.15	3.57
Total 	0	14.99	6.98	7.99
Total 	0	13.68	6.89	9.21
Total 	0	13.77	8.98	11.21
Total 	0	15.98	9	9.02
Total 	0	15.08	8.02	8.94
Total 	0	17.19	8.57	7.38
Total 	0	13.9	7.72	9.82
Total 	0	16.6	7.86	7.26
Total 	0	13.38	4.7	7.32
Total 	0	16.31	8.34	8.03
Total 	0	14.96	5.71	6.75
Total 	0	15.2	7.18	7.98
Total 	0	14.39	5.03	6.64
Total 	0	15.55	7.78	8.23
Total 	0	16.57	7.43	6.86
Total 	0	10.91	2.74	7.83
Total 	0	14.51	7.36	8.85
Total 	0	14.71	6.79	8.08
Total 	0	14.99	7.59	8.6
Total 	0	13.16	5.78	8.62
Total 	0	15.28	8.18	8.9
Total 	0	11.73	7.05	11.32
Total 	0	11.7	2.85	7.15
Total 	0	14.99	7.3	8.31
Total 	0	14.24	5.21	6.97
Total 	0	13.72	3.71	5.99
Total 	0	14.92	6.99	8.07
Total 	0	14.48	7.97	9.49
Total 	0	16.22	6.79	6.57
Total 	0	15.79	8.01	8.22
Total 	0	16.6	8.4	7.8
Total 	0	14.73	5.91	7.18
Total 	0	15.03	6.41	7.38
Total 	0	15.37	6.89	7.52
Total 	0	13.15	4.94	7.79
Total 	0	14.72	7.43	8.71
Total 	0	12.98	6.96	9.98
Total 	0	13.33	8.31	10.98
Total 	0	14.01	7.81	9.8
Total 	0	14.86	7.02	8.16
Total 	0	12.33	9.8	13.47
Total 	0	15.54	8.55	9.01
Total 	0	14.25	7.41	9.16
Total 	0	16.53	6.93	6.4
Total 	0	14.08	7.33	9.25
Total 	0	15.57	9.09	9.52
Total 	0	14.57	4.46	5.89
Total 	0	15.27	6.6	7.33
Total 	0	16.28	8.8	8.52
Total 	0	15.03	4.89	5.86
Total 	0	14.88	7.82	8.94
Total 	0	14.32	8.22	9.9
Total 	0	15.64	6.79	7.15
Total 	0	11.08	7.79	12.71
Total 	0	11.67	4.42	8.75
Total 	0	15	7.69	8.69
Total 	0	11.88	4.78	8.9
Total 	0	13.63	5.83	8.2
Total 	0	11.28	2.95	7.67
Total 	0.01	15.52	6.41	6.88
Total 	0	12.32	5.96	9.64
Total 	0	12.47	4.67	8.2
Total 	0	15.09	6.73	7.64
Total 	0	15.51	7.75	8.24
Total 	0	14.2	6.38	8.18
Total 	0	12.91	8.16	11.25
Total 	0	15.22	6.79	7.57
Total 	0	14.11	5.29	7.18
Total 	0	13.14	7.95	10.81
Total 	0	13.26	3.79	6.53
Total 	0	15.88	9.52	9.64
Total 	0	15.05	6.75	7.7
Total 	0	15.53	7.92	8.39
Total 	0	13.65	6.97	9.32
Total 	0	15.01	9.12	10.11
Total 	0	15.62	8.47	8.85
Total 	0	16.02	8.24	8.22
Total 	0	12.28	7.61	11.33
Total 	0	15.91	7.53	7.62
Total 	0	11.09	9.41	14.32
Total 	0	13.36	8.34	10.98
Total 	0	14.27	8.35	10.08
Total 	0	13.79	9.31	11.52
Total 	0	15.42	6.41	6.99
Total 	0	14.79	8.34	9.55
Total 	0.01	14.5	8.06	9.55
Total 	0	14.16	8.73	10.57
Total 	0	12.07	6.08	10.01
Total 	0	13.55	6.37	8.82
Total 	0	11.57	0	4.43
Total 	0	10.41	0	5.59
Total 	0	12.94	8.5	11.56
Total 	0	11.61	6.89	11.28
Total 	0	13.76	7.18	9.42
Total 	0	14.18	6.66	8.48
Total 	0	13.21	7.49	10.28
Total 	0	15.09	6.8	7.71
Total 	0	14.48	7.91	9.43
Total 	0	13.78	7.55	9.77
Total 	0	11.36	0.08	4.72
Total 	0.01	15.16	6.98	7.81
Total 	0	11.55	0	4.45
Total 	0	13.32	8.32	11
Total 	0	11.48	0	4.52
Total 	0	13.31	5.34	8.03
Total 	0	16.38	7.44	7.06
Total 	0	14.34	6.65	8.31
Total 	0	13.53	7.29	9.76
Total 	0	15.99	7.78	7.79
Total 	0	15.28	7.73	8.45
Total 	0	13.06	5.47	8.41
Total 	0	16.04	8.56	8.52
Total 	0	14.78	7.25	8.47
Total 	0.01	15.88	7.73	7.84
Total 	0	12.78	6.67	9.89
Total 	0	14.46	8.05	9.59
Total 	0	11.09	1.2	6.11
Total 	0	14.13	5.96	7.83
Total 	0	14.45	8.32	9.87
Total 	0	13.94	6.5	8.56
Total 	0	16.47	7.41	6.94
Total 	0	14.11	6.84	8.73
Total 	0	12.19	6.18	9.99
Total 	0	15.59	7.52	7.93
Total 	0	13.74	5.61	7.87
Total 	0	15.47	6.98	7.51
Total 	0	14.24	8.95	10.71
Total 	0	12.29	5.76	9.47
Total 	0	15.58	7.56	7.98
Total 	0	11.5	8.14	12.64
Total 	0	14.55	6.54	7.99
Total 	0	13.32	6.41	9.09
Total 	0	14.83	5.93	7.1
Total 	0	15.44	5.54	6.1
Total 	0	14.76	7.12	8.36
Total 	0	15.33	6.89	7.56
Total 	0	14.49	7.2	8.71
Total 	0	12.46	5.24	8.78
Total 	0	9.3	8.16	14.86
Total 	0	10.72	5.83	11.11
Total 	0	13.92	6.28	8.36
Total 	0	15.54	7.46	7.92
Total 	0	16.55	7.99	7.44
Total 	0	14.94	7.14	8.2
Total 	0	14.17	6.66	8.49
Total 	0	12.61	5.04	8.43
Total 	0	13.82	6.15	8.33
Total 	0	12.61	6.96	10.35
Total 	0	13.97	5.43	7.46
Total 	0	14.45	7.57	9.12
Total 	0	12.69	8.8	12.11
Total 	0	14.52	6.28	7.76
Total 	0	15.34	6.18	6.84
Total 	0	13.89	7.06	9.17
Total 	0	9.68	5.77	12.09
Total 	0	13.8	4.29	6.49
Total 	0	14.93	7.27	8.34
Total 	0	11.5	5.92	10.42
Total 	0	13.4	7.75	10.35
Total 	0	15.63	8.43	8.8
Total 	0.01	15.29	7.02	7.72
Total 	0	11.74	4.77	9.03
Total 	0	14.24	5.7	7.46
Total 	0	15.56	10.02	10.46
Total 	0	14.74	8.21	9.47
Total 	0	15.18	5.49	6.31
Total 	0	15.04	6.75	7.71
Total 	0	11.98	5.44	9.46
Total 	0	12.06	7.37	11.31
Total 	0	13.55	4.79	7.24
Total 	0	16.56	7.48	6.92
Total 	0	11.65	2.28	6.63
Total 	0	15.3	8.54	9.24
Total 	0	10.55	4.61	10.06
Total 	0	13.07	2.3	5.23
Total 	0	12.95	4.98	8.03
Total 	0	10.59	2.55	7.96
Total 	0.01	16.26	7.76	7.49
Total 	0	15.75	7.72	7.97
Total 	0	13.2	4.75	7.55
Total 	0	15.5	7.16	7.66
Total 	0	14.67	6.41	7.74
Total 	0	13.73	8.14	10.41
Total 	0	12.62	6.09	9.47
Total 	0	15.14	7.86	8.72
Total 	0	13.64	7.96	10.32
Total 	0	15.49	4.86	5.37
Total 	0	15.13	7.71	8.58
Total 	0	16.02	7.09	7.07
Total 	0	13.45	3.73	6.28
Total 	0	14.78	6.86	8.08
Total 	0	14.81	6.31	7.5
Total 	0	14.89	7.68	8.79
Total 	0	14.59	5.84	7.25
Total 	0	13.86	7.36	9.5
Total 	0	13.16	1.62	4.46
Total 	0	16.1	7.09	6.99
Total 	0	13.16	6.3	9.14
Total 	0	15.13	7.57	8.44
Total 	0	12.08	4.95	8.87
Total 	0	14.51	7.9	9.39
Total 	0	13.99	9.42	11.43
Total 	0	12.21	7.92	11.71
Total 	0	14.75	8.55	9.8
Total 	0	12.42	4.65	8.23
Total 	0	14.5	7.07	8.57
Total 	0	14.43	6.45	8.02
Total 	0	14.15	5.74	7.59
Total 	0	13.64	6.75	9.11
Total 	0	14.8	6.29	7.49
Total 	0	13.04	8.67	11.63
Total 	0	15.14	6.33	7.19
Total 	0	14.13	9.79	11.66
Total 	0	14.45	6.36	7.91
Total 	0	15.42	8.49	9.07
Total 	0	15.88	5.71	5.83
Total 	0	15.15	7.45	8.3
Total 	0	13.86	5.88	8.02
Total 	0	14.55	5.47	6.92
Total 	0	13.02	5.49	8.47
Total 	0	13.02	6.98	9.96
Total 	0	16.74	8.21	7.47
Total 	0	15.52	7.94	8.42
Total 	0	15.68	7.63	7.95
Total 	0	14.25	7.45	9.2
Total 	0	13.2	6.39	9.19
Total 	0	14.97	5.92	6.95
Total 	0	14	5.51	7.51
Total 	0	15.47	8.84	9.37
Total 	0	14.65	6.31	7.66
Total 	0	14.45	6.95	8.5
Total 	0	13.24	5.67	8.43
Total 	0	16.43	8.14	7.71
Total 	0	13.7	4.16	6.46
Total 	0	14.36	7.5	9.14
Total 	0	12.25	4.82	8.57
Total 	0	16.42	9.56	9.14
Total 	0	12.07	3.82	7.75
Total 	0	13.55	7.93	10.38
Total 	0	14.28	8.14	9.86
Total 	0	15.42	6.79	7.37
Total 	0	14.44	7.56	9.12
Total 	0	13.6	6.17	8.57
Total 	0	13.43	4.07	6.64
Total 	0	12.82	5.21	8.39
Total 	0	15.98	8.06	8.08
Total 	0	14.1	10.24	12.14
Total 	0	15.38	8.87	9.49
Total 	0	15.16	7.2	8.04
Total 	0	15.76	7.7	7.94
Total 	0	14.58	7.67	9.09
Total 	0	13.09	7.91	10.82
Total 	0	11.16	3.97	8.81
Total 	0	12.7	7.13	10.43
Total 	0	14.58	5.46	6.88
Total 	0	14.72	7.66	8.94
Total 	0	15.21	6.68	7.47
Total 	0	10.85	5.91	11.06
Total 	0	10.41	6.33	11.92
Total 	0	14.77	8.09	9.32
Total 	0	13.68	7.04	9.36
Total 	0	13.7	7.52	9.82
Total 	0	13.51	3.74	6.23
Total 	0	12.99	3.19	6.2
Total 	0	10.41	3.73	9.32
Total 	0	12.83	6.2	9.37
Total 	0	14.36	6.32	7.96
Total 	0	15.87	8.82	8.95
Total 	0	15.74	8.98	9.24
Total 	0	14.74	7.71	8.97
Total 	0	11.35	0	4.65
Total 	0	13.99	8.32	10.33
Total 	0	15.61	8.3	8.69
Total 	0	15.39	7.54	8.15
Total 	0	12.87	5.87	9
Total 	0	14.56	9.02	10.46
Total 	0	11.63	0	4.37
Total 	0	12.82	7.75	10.93
Total 	0	13.6	6.5	8.9
Total 	0	15.36	6.5	7.14
Total 	0	14.7	5.65	6.95
Total 	0	14.07	6.3	8.23
Total 	0	13.23	7.31	10.08
Total 	0	13.43	5.44	8.01
Total 	0	15.91	7.75	7.84
Total 	0	14.72	8.17	9.45
Total 	0	14.87	9.43	10.56
Total 	0	15.97	7.95	7.98
Total 	0	15.52	7.81	8.29
Total 	0	12.57	4.52	7.95
Total 	0	14.25	4.92	6.67
Total 	0	15.82	8.42	8.6
Total 	0	15.14	7.63	8.49
Total 	0	14.22	4.68	6.46
Total 	0	8.79	4.76	11.97
Total 	0	13.58	4.28	6.7
Total 	0	13.77	6.52	8.75
Total 	0	14.19	8.33	10.14
Total 	0	16.26	7.81	7.55
Total 	0	15.91	7.03	7.12
Total 	0	15.23	8.32	9.09
Total 	0	13.46	6.93	9.47
Total 	0	10.67	2.17	7.5
Total 	0	15.19	7.43	8.24
Total 	0	11.67	5.06	9.39
Total 	0	14.47	8.67	10.2
Total 	0	12.8	6.42	9.62
Total 	0	10.82	3	8.18
Total 	0	13.41	7.09	9.68
Total 	0	15.81	8.15	8.34
Total 	0	11.86	10.7	14.84
Total 	0	10.25	0	5.75
Total 	0	14.15	3.9	5.75
Total 	0	14.36	6.3	7.94
Total 	0	11.8	4.61	8.81
Total 	0	14.89	6.34	7.45
Total 	0	14.49	7.02	8.53
Total 	0	14.14	6.13	7.99
Total 	0	11.9	6.74	10.84
Total 	0	14.9	5.89	6.99
Total 	0	16.07	7.79	7.72
Total 	0	12.08	8.06	11.98
Total 	0	16.09	7.28	7.19
Total 	0	14.89	8.21	9.32
Total 	0	15.05	6.01	6.96
Total 	0	11.68	7.72	12.04
Total 	0	11.95	3.37	7.42
Total 	0	15.14	8.57	9.43
Total 	0	14.68	10.07	11.39
Total 	0	15.68	7.86	8.18
Total 	0	13.39	7.43	10.04
Total 	0	13.95	4.3	6.35
Total 	0	11.39	5.28	9.89
Total 	0	12.78	7.02	10.24
Total 	0	13.35	7.45	10.1
Total 	0	13.54	4.03	6.49
Total 	0	16.6	8.39	7.79
Total 	0	14.52	6.28	7.76
Total 	0	16.53	8.1	7.57
Total 	0	11.32	0	4.68
Total 	0	13.07	7.86	10.79
Total 	0	14.99	7.43	8.44
Total 	0	13.62	8.55	10.93
Total 	0	13.43	7.95	10.52
Total 	0	13.85	5.22	7.37
Total 	0	14.87	6.26	7.39
Total 	0	13.32	7.07	9.75
Total 	0	14.43	6.28	7.85
Total 	0	12.05	6.42	10.37
Total 	0	14.99	6.66	7.67
Total 	0	11.7	5.71	10.01
Total 	0	14.21	6.23	8.02
Total 	0	16.6	7.26	6.66
Total 	0	11.46	7.18	11.72
Total 	0	12.63	7.64	11.01
Total 	0	15.67	7.85	8.18
Total 	0	14.64	8.22	9.58
Total 	0	8.71	6.3	13.59
Total 	0	13.67	7.5	9.83
Total 	0	14.02	6.74	8.72
Total 	0	16.29	8.24	7.95
Total 	0	15.4	8	8.6
Total 	0	13.72	7.11	9.39
Total 	0	15.07	6.17	7.1
Total 	0	11.37	4.88	9.51
Total 	0	10.18	4.98	10.8
Total 	0	16.06	7.93	7.87
Total 	0	15.01	4.64	5.63
Total 	0	14.72	6.5	7.78
Total 	0	13.6	5.6	8
Total 	0	16.02	7.55	7.53
Total 	0	12.45	5.01	8.56
Total 	0	14.99	7.9	8.91
Total 	0	12.42	0	3.58
Total 	0	14.38	7.51	9.13
Total 	0	15.58	6.22	6.64
Total 	0.01	14.16	5.98	7.81
Total 	0	15.61	7.69	8.08
Total 	0	14.73	6.86	8.13
Total 	0	16.9	7.95	7.05
Total 	0	10.27	0	5.73
Total 	0	13.59	5.74	8.15
Total 	0	12.4	4.05	7.65
Total 	0	15.64	8.07	8.43
Total 	0	14.77	6.54	7.77
Total 	0	13.17	6.81	9.64
Total 	0	16.63	8.34	7.71
Total 	0	11.68	5.7	10.02
Total 	0	15.05	7.01	7.96
Total 	0	14.58	6.29	7.71
Total 	0	16.58	7.9	7.32
Total 	0	13.75	5.38	7.63
Total 	0	17.4	7.94	6.54
Total 	0	14	7.86	9.86
Total 	0	14.76	7.39	8.63
Total 	0	15.93	8.96	9.03
Total 	0	14.52	7.09	8.57
Total 	0	11.15	7.3	12.15
Total 	0	13.11	7.71	10.6
Total 	0	15.24	6.89	7.65
Total 	0	15.34	8.28	8.94
Total 	0	14.6	7.61	9.01
Total 	0	11.14	3.49	8.35
Total 	0	13.97	8.3	10.33
Total 	0	13.27	5.46	8.19
Total 	0	14.2	7.44	9.24
Total 	0	14.57	5.73	7.16
Total 	0	15.41	8.73	9.32
Total 	0	15.02	8.75	9.73
Total 	0	13.76	9.23	11.47
Total 	0	14.44	7.75	9.31
Total 	0	16.19	8.45	8.26
Total 	0	15.74	7.42	7.68
Total 	0	15.5	6.81	7.31
Total 	0	14.84	7.08	8.24
Total 	0	13.58	4.37	6.79
Total 	0	13.47	7.72	10.25
Total 	0	14.94	7.73	8.79
Total 	0	14.13	6.74	8.61
Total 	0	15.04	6.46	7.42
Total 	0	13.22	9.29	12.07
Total 	0	15.15	7.01	7.86
Total 	0	15.38	6.66	7.28
Total 	0	15.22	5.5	6.28
Total 	0	12.01	4.93	8.92
Total 	0	15.47	7.18	7.71
Total 	0	14.78	7.65	8.87
Total 	0	12.7	5.32	8.62
Total 	0	12.88	5.63	8.75
Total 	0	16.74	7.32	6.58
Total 	0	14.32	7.62	9.3
Total 	0	14.76	7.35	8.59
Total 	0	11.95	5.38	9.43
Total 	0	14.28	6.49	8.21
Total 	0	15.17	5.13	5.96
Total 	0	12.56	6.47	9.91
Total 	0	13.74	4.05	6.31
Total 	0	15.75	8.67	8.92
Total 	0	14.37	6.78	8.41
Total 	0.01	13.24	6.47	9.22
Total 	0	14.91	7.53	8.62
Total 	0.01	13.16	6	8.83
Total 	0	13.75	7.67	9.92
Total 	0	14	4.64	6.64
Total 	0	16.18	6.22	6.04
Total 	0	10.27	5.71	11.44
Total 	0	14.2	5.94	7.74
Total 	0	14.72	5.46	6.74
Total 	0	9.41	4.88	11.47
Total 	0	13.25	6.35	9.1
Total 	0	15.2	8.47	9.27
Total 	0	12.66	5.85	9.19
Total 	0	14.08	7.01	8.93
Total 	0	12.88	7.5	10.62
Total 	0	13.91	7.99	10.08
Total 	0	13.73	6.06	8.33
Total 	0	14.97	7.14	8.17
Total 	0	13.92	6.23	8.31
Total 	0	15.95	6.02	6.07
Total 	0	15.37	7.81	8.44
Total 	0	15.68	6.39	6.71
Total 	0	14.6	7.16	8.56
Total 	0	13.31	3.17	5.86
Total 	0	12.38	12.29	15.91
Total 	0	15.1	7.2	8.1
Total 	0.01	14.74	6.8	8.05
Total 	0	13.11	5.21	8.1
Total 	0	10.51	0	5.49
Total 	0	15.79	8	8.21
Total 	0	14.15	7.36	9.21
Total 	0	11.93	6.54	10.61
Total 	0	14.99	6.48	7.49
Total 	0	14.61	6.38	7.77
Total 	0	13.95	5.32	7.37
Total 	0	13.14	7.42	10.28
Total 	0	16.07	6.03	5.96
Total 	0	13.46	7.36	9.9
Total 	0	16.17	7.75	7.58
Total 	0	11.55	4.4	8.85
Total 	0	15.32	9.87	10.55
Total 	0	13.62	4.89	7.27
Total 	0	14.06	5.72	7.66
Total 	0	13.83	7.16	9.33
Total 	0	16.28	7.26	6.98
Total 	0	11.43	0	4.57
Total 	0	13.37	6.59	9.22
Total 	0	13.27	3.75	6.48
Total 	0	10.53	0	5.47
Total 	0	12.98	5.22	8.24
Total 	0	15.17	9.17	10
Total 	0	14.48	4.98	6.5
